;; Index, Source, RA, Dec, Rho (kpc), Rho/Rvir, log N(HI), sigma(log NHI), v(HI), sigma(v(HI)), FWHM, sigma(FWHM), GAS ID
;; 10 2E0111+3851  01:13:54.50  +39:07:44.0  82  0.28  17.90  0.08  -292.0  4  67.7 10.2  Bridge
;; 24  PG0052+251  00:54:52.13  +25:25:38.9 207  0.69  17.76  0.08  -351.0 1.5 24.3 3.6  MS
;; OLD
;; 27     RBS2055  23:51:52.77  +26:19:32.5 235  0.79  18.08  0.06  -330.6 1.3 35.6 3.2  MS       
;; 28     RBS2061  23:55:48.21  +25:30:31.6 238  0.80  18.18  0.07  -331.3 2.6 53.3 6.6  MS
27     RBS2055  23:51:52.77  +26:19:32.5 235  0.79  17.88  0.05  -331.5 1.0 25.1 2.3  MS       
28     RBS2061  23:55:48.21  +25:30:31.6 238  0.80  17.79  0.08  -334.0 1.7 29.1 4.0  MS
