#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#Product Type, Mission, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Proposal ID, Principal Investigator, Calibration Level, Start Time, End Time, Exposure Length, Min. Wavelength, Max. Wavelength, Release Date, s_region, jpegURL, Product Group ID, Object ID
#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, float, float, float, string, string, string, string
dataproduct_type,obs_collection,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,t_obs_release,s_region,jpegURL,obsid,objID
spectrum,FUSE,FUV,,,UV,1H0419-577,SEYFERT GALAXY,f0260101000,66.5,-57.200278,F026,Wakker,2,53880.22246528,53880.55472032,8659,90,119,NaN,CIRCLE ICRS 66.5 -57.200278 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/f0260101/f026010100000specttagf.gif,3001002038,3001000963
spectrum,FUSE,FUV,,,UV,1H0419-577,SEYFERT GALAXY,f0260102000,66.5,-57.200278,F026,Wakker,2,53881.18990741,53881.52791296,5097,90,119,NaN,CIRCLE ICRS 66.5 -57.200278 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/f0260102/f026010200000specttagf.gif,3001002039,3001000964
spectrum,FUSE,FUV,,,UV,1H0707-495,SEYFERT GALAXY,b1050102000,107.172917,-49.551611,B105,Leighly,2,52704.35736111,52704.94314489,24259,90,119,NaN,CIRCLE ICRS 107.172917 -49.551611 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/b1050102/b105010200000specttagf.gif,3001000743,3001000395
spectrum,FUSE,FUV,,,UV,1H0707-495,SEYFERT GALAXY,b1050103000,107.172917,-49.551611,B105,Leighly,2,52704.98127315,52705.70558747,22559,90,119,NaN,CIRCLE ICRS 107.172917 -49.551611 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/b1050103/b105010300000specttagf.gif,3001000744,3001000396
spectrum,FUSE,FUV,,,UV,1H0707-495,SEYFERT GALAXY,e1190101000,107.172917,-49.551611,E119,Leighly,2,53349.47344907,53350.61496338,50310,90,119,NaN,CIRCLE ICRS 107.172917 -49.551611 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/e1190101/e119010100000specttagf.gif,3001001781,3001000871
spectrum,FUSE,FUV,,,UV,1H0707-495,SEYFERT GALAXY,b1050101000,107.172917,-49.551611,B105,Leighly,2,52229.23476852,52229.59641466,20301,90,119,NaN,CIRCLE ICRS 107.172917 -49.551611 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/b1050101/b105010100000specttagf.gif,3001000742,3001003976
spectrum,FUSE,FUV,,,UV,1H0717+714,BL LAC OBJECT,f0260302000,110.470833,71.343333,F026,Wakker,2,53724.19385417,53724.67529351,22567,90,119,NaN,CIRCLE ICRS 110.470833 71.343333 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/f0260302/f026030200000specttagf.gif,3001002040,3001000965
spectrum,FUSE,FUV,,,UV,1H2107-097,SEYFERT GALAXY,a1210303000,317.2915,-9.670833,A121,Gibson,2,52077.31278935,52077.41283194,5882,90,119,NaN,CIRCLE ICRS 317.2915 -9.670833 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/a1210303/a121030300000specttagf.gif,3001000290,3001003404
spectrum,FUSE,FUV,,,UV,2MASSJ09435347+7831407,B SUBDWARF,g0610903000,145.972917,78.527972,G061,Chayer,2,53966.83230324,53966.90778935,2025,90,119,NaN,CIRCLE ICRS 145.972917 78.52797200000001 0.00277777777778,http://archive.stsci.edu/browse/previews/fuse/g0610903/g061090300000spechistf.gif,3001002296,3001001115
spectrum,FUSE,FUV,,,UV,2MASSJ09435347+7831407,B SUBDWARF,g0610904000,145.972917,78.527972,G061,Chayer,2,54135.20798611,54135.5158912,4026,90,119,NaN,CIRCLE ICRS 145.972917 78.52797200000001 0.00277777777778,http://archive.stsci.edu/browse/previews/fuse/g0610904/g061090400000spechistf.gif,3001002297,3001002944
spectrum,FUSE,FUV,,,UV,2MASSJ09435347+7831407,B SUBDWARF,g0610901000,145.972917,78.527972,G061,Chayer,2,53774.75681713,53774.77520833,1110,90,119,NaN,CIRCLE ICRS 145.972917 78.52797200000001 0.00277777777778,http://archive.stsci.edu/browse/previews/fuse/g0610901/g061090100000spechistf.gif,3001002295,3001005122
spectrum,FUSE,FUV,,,UV,2MASSJ12504906+7439435,B SUBDWARF,g0610801000,192.704583,74.662056,G061,Chayer,2,53774.580625,53774.65543981,4324,90,119,NaN,CIRCLE ICRS 192.704583 74.66205600000001 0.00277777777778,http://archive.stsci.edu/browse/previews/fuse/g0610801/g061080100000spechistf.gif,3001002294,3001001114
spectrum,FUSE,FUV,,,UV,2MASSJ14212788+7124214,B SUBDWARF,g0610602000,215.36625,71.405944,G061,Chayer,2,54120.45435185,54120.61502315,4055,90,119,NaN,CIRCLE ICRS 215.36625 71.40594400000001 0.00277777777778,http://archive.stsci.edu/browse/previews/fuse/g0610602/g061060200000spechistf.gif,3001002292,3001002942
spectrum,FUSE,FUV,,,UV,2MASSJ14212788+7124214,B SUBDWARF,g0610603000,215.36625,71.405944,G061,Chayer,2,54121.92938657,54122.1021412,3921,90,119,NaN,CIRCLE ICRS 215.36625 71.40594400000001 0.00277777777778,http://archive.stsci.edu/browse/previews/fuse/g0610603/g061060300000spechistf.gif,3001002293,3001002943
spectrum,FUSE,FUV,,,UV,2MASSJ15265306+7941307,B SUBDWARF,g0611101000,231.72125,79.691861,G061,Chayer,2,53770.6693287,53770.89038194,4840,90,119,NaN,CIRCLE ICRS 231.72125 79.691861 0.00277777777778,http://archive.stsci.edu/browse/previews/fuse/g0611101/g061110100000spechistf.gif,3001002299,3001001116
spectrum,FUSE,FUV,,,UV,2MASSJ15265306+7941307,B SUBDWARF,g0611102000,231.72125,79.691861,G061,Chayer,2,53772.33188657,53772.54171296,3735,90,119,NaN,CIRCLE ICRS 231.72125 79.691861 0.00277777777778,http://archive.stsci.edu/browse/previews/fuse/g0611102/g061110200000spechistf.gif,3001002300,3001001117
spectrum,FUSE,FUV,,,UV,2MASSJ17045838+7304434,B SUBDWARF,g0610203000,256.243333,73.078722,G061,Chayer,2,54115.67609954,54115.94450231,5584,90,119,NaN,CIRCLE ICRS 256.243333 73.078722 0.00277777777778,http://archive.stsci.edu/browse/previews/fuse/g0610203/g061020300000spechistf.gif,3001002289,3001002941
spectrum,FUSE,FUV,,,UV,2MASX-J21362313-6224008,QUASAR,d9030401000,324.096667,-62.4,D903,Bonamente,2,52784.38319444,52785.0625755,36912,90,119,NaN,CIRCLE ICRS 324.096667 -62.4 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/d9030401/d903040100000specttagf.gif,3001001563,3001000813
spectrum,FUSE,FUV,,,UV,2MASXIJ1622346+735943,SEYFERT GALAXY,e8481202000,248.143667,73.995136,E848,Sembach,2,54053.62547454,54053.6607949,973,90,119,NaN,CIRCLE ICRS 248.143667 73.995136 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/e8481202/e848120200000specttagf.gif,3001001929,3001000933
spectrum,FUSE,FUV,,,UV,2MASXIJ1622346+735943,SEYFERT GALAXY,e8481203000,248.143667,73.995136,E848,Sembach,2,54171.25484954,54171.63046188,14903,90,119,NaN,CIRCLE ICRS 248.143667 73.995136 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/e8481203/e848120300000specttagf.gif,3001001930,3001004501
spectrum,FUSE,FUV,,,UV,2MASXIJ1622346+735943,SEYFERT GALAXY,e8481204000,248.143667,73.995136,E848,Sembach,2,54173.11155093,54173.49539243,14697,90,119,NaN,CIRCLE ICRS 248.143667 73.995136 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/e8481204/e848120400000specttagf.gif,3001001931,3001005231
spectrum,FUSE,FUV,,,UV,2MASXJ16323468+7359434,SEYFERT GALAXY,z9071501000,248.143667,73.995136,Z907,Andersson,2,52652.97662037,52653.56156919,16855,90,119,NaN,CIRCLE ICRS 248.143667 73.995136 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/z9071501/z907150100000specttagf.gif,3001005153,3001002792
spectrum,FUSE,FUV,,,UV,30Dor-S-R136,H II REGION,f9140101000,84.715417,-69.1,F914,Chu,2,53937.64079861,53937.84735858,10306,90,119,NaN,CIRCLE ICRS 84.715417 -69.09999999999999 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/f9140101/f914010100000specttagf.gif,3001002151,3001001031
